steming_data,Sentiment,tokenized_tweet
valid payroll sepcialist usaha scbd putus pindah daerah kwasan industri langit bumi segi salary fasilitas jemput makan siang kopi gratis rekan kerja layak kerja pulang no lembur2,Positif,"[2093, 5985, 5986, 327, 5987, 685, 1183, 91, 5988, 1643, 1240, 1834, 1431, 5989, 354, 2094, 1, 3, 1644, 2, 3890, 39, 88, 39, 287, 474, 5990]"
makan siang gratis aa,Positif,"[1, 3, 2, 4227]"
closed agency yuk main makan siang gratis,Positif,"[10210, 0, 523, 259, 1, 3, 2]"
penuh kriteria sasar terima program makan siang gizi gratis,Positif,"[97, 3551, 198, 53, 4, 1, 3, 5, 2]"
tni polri terima tawar makan siang gratis ya,Positif,"[464, 811, 53, 859, 1, 3, 2, 6]"
makan siang gratis,Positif,"[1, 3, 2]"
besok makan siang gratis by,Positif,"[450, 1, 3, 2, 865]"
ngulang kalimat pindah ikn makan siang gratis,Netral,"[10533, 1321, 1183, 131, 1, 3, 2]"
triliun alokasi porsi turun rp15 ribu rp10 ribu masuk kunci anggar makan siang gratis 71 triliun mesin cari google salah telusur arah berita badan gizi bukabukaan,Negatif,"[161, 289, 158, 227, 5848, 132, 5849, 132, 79, 740, 19, 1, 3, 2, 1472, 161, 2071, 99, 2436, 54, 2437, 769, 204, 342, 5, 5850]"
makan siang gratis daerah stunting ruwet anggar potong situ enak jalan jalan,Netral,"[1, 3, 2, 91, 118, 1868, 19, 122, 489, 31, 40, 40]"
gen tutorial ganti makan siang gratis gaco tau dm gentod guys,Netral,"[840, 5018, 115, 1, 3, 2, 9597, 51, 3579, 9598, 822]"
kait program makan siang gratis,Positif,"[416, 4, 1, 3, 2]"
libat urus makan siang gratis kayak ormas belah lumayan jatah,Negatif,"[400, 124, 1, 3, 2, 15, 966, 775, 429, 322]"
anak muda bakat muncul 2 upload edit mutu makan siang gratis ya,Netral,"[7, 565, 10675, 398, 84, 1667, 5256, 924, 1, 3, 2, 6]"
makan siang gratis sih gendut,Netral,"[1, 3, 2, 10, 311]"
terima makan siang gratis bimlek,Positif,"[53, 1, 3, 2, 10228]"
teman reagan guys bonus makan siang gratis,Positif,"[504, 11546, 822, 1135, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
tengkyu my pookie fufufafa rumah lamar pakai 1000 makan siang gratis gtlt,Positif,"[11869, 702, 11870, 570, 76, 4308, 28, 797, 1, 3, 2, 11871]"
stopp nama makan siang gratis dik,Positif,"[4068, 75, 1, 3, 2, 1010]"
makan siang gratis lucu banget,Positif,"[1, 3, 2, 284, 20]"
makan siang gratis sohib dpet kah,Positif,"[1, 3, 2, 9606, 2590, 144]"
talkshow pagi sorot program makan siang gizi gratis perintah ajar program pmtas makan anak sekolah,Positif,"[13202, 211, 854, 4, 1, 3, 5, 2, 13, 73, 4, 3117, 1, 7, 8]"
kak bibi wordingin upchar kasih makan siang gratis tis tis lantai,Positif,"[176, 0, 0, 0, 17, 1, 3, 2, 0, 0, 1350]"
kak makan siang gratis nih,Positif,"[176, 1, 3, 2, 50]"
klub orang jawa kali ya nama mak gedebruk,Positif,"[2855, 11, 658, 86, 6, 75, 2857, 13144]"
hellu 3 timun please kasih makan siang gratis lauk ayam geprek n mie ayam 9,Netral,"[5993, 107, 3893, 1152, 17, 1, 3, 2, 159, 150, 2024, 513, 1613, 150, 541]"
voucher makan siang gratis nih admin,Positif,"[1232, 1, 3, 2, 50, 1318]"
bantuin kantin biar makan siang gratis,Positif,"[2652, 147, 41, 1, 3, 2]"
salah makan siang gratis,Netral,"[54, 1, 3, 2]"
said didu menang 20 buzzer khong guan pagar laut bongkar shgb cabut bukti gerombol londo ireng ngemis aguan makan siang gratis,Negatif,"[1783, 8348, 403, 715, 195, 8349, 8350, 362, 312, 1806, 8351, 1349, 142, 2245, 8352, 8353, 921, 1526, 1, 3, 2]"
makan siang gratis panitia event sekolah konsum ya,Positif,"[1, 3, 2, 1911, 1651, 8, 10622, 6]"
nahhhhh ntuh jabat makan siang gratis aneh aneh stop,Netral,"[6508, 3122, 61, 1, 3, 2, 153, 153, 152]"
dapur masak makan siang gratis pakai pt p info lelang join niccc,Positif,"[201, 207, 1, 3, 2, 28, 2241, 1145, 602, 10779, 2164, 10780]"
min request makan siang gratis mahasiswa,Positif,"[642, 1618, 1, 3, 2, 861]"
ya allah speechless lihat progres program makan siang gratis laksana stop iya serangga belalang protein masak saji anakanak bilang makan gizi,Positif,"[6, 256, 6121, 33, 0, 4, 1, 3, 2, 109, 152, 231, 1263, 3547, 807, 207, 1204, 52, 42, 1, 5]"
hasil makan siang gratis gizi pakai serangga,Positif,"[60, 1, 3, 2, 5, 28, 1263]"
makan siang budget 400 t gratis biaya sekolah kuliah tahi bayang orang didik negara repot rakyat maju pikir kritis,Netral,"[1, 3, 170, 2077, 306, 2, 57, 8, 440, 378, 338, 11, 38, 22, 816, 12, 297, 68, 987]"
dana makan siang gratis mash cari usaha,Positif,"[18, 1, 3, 2, 9357, 99, 327]"
banget tipikal gue report dideport us tolak trump anggap manusia kelas suruh ahelah ongkos pp bikin sekolah bagus ntt plus makan siang gratis,Positif,"[20, 2566, 16, 3813, 10640, 1502, 506, 1308, 561, 449, 225, 65, 10641, 3656, 1448, 23, 8, 82, 1174, 653, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
bubar bubar kasih didik gratis makan siang gratis program anehh rp 1,Positif,"[622, 622, 17, 38, 2, 1, 3, 2, 4, 7306, 288, 55]"
nih buzzer jalur pornowo ngenyek program makan gratis makan siang,Netral,"[50, 195, 1564, 9106, 9107, 4, 1, 2, 1, 3]"
wakil presiden tinjau laksana program makan siang gratis seskoal,Positif,"[386, 32, 638, 109, 4, 1, 3, 2, 9157]"
you prefer makan hati orang makan siang gratis country bin,Positif,"[641, 4290, 1, 360, 11, 1, 3, 2, 3616, 2524]"
adakan makan siang gratis,Positif,"[1820, 1, 3, 2]"
bayang aing vendor makan siang gratis anak aing bonusin surya 2 batang,Netral,"[338, 2294, 357, 1, 3, 2, 7, 2294, 9471, 2826, 84, 1549]"
ternak serangga penuh pinpro makan siang bergizigratis,Netral,"[784, 1263, 97, 12614, 1, 3, 3652]"
gara utang budi utang negara janji dukung balas jasa makan siang gratis sandera tutup borok,Negatif,"[482, 248, 1200, 248, 22, 67, 24, 824, 1312, 1, 3, 2, 7088, 539, 7089]"
gue terima bangga prabowo presiden ri program makan siang gratis efektif jalan gue dampak signifikan maju biaya hasil paksa,Positif,"[16, 53, 511, 21, 32, 443, 4, 1, 3, 2, 363, 40, 16, 598, 3625, 297, 57, 60, 112]"
ngapak kentheng soyo remuk anggarane dinggo bayar buzzer ro makan siang gratis oke ghazzzz,Positif,"[0, 0, 0, 0, 0, 5743, 44, 195, 7437, 1, 3, 2, 219, 0]"
diskusi makan siang gratis yuk tunggu,Positif,"[1239, 1, 3, 2, 523, 209]"
makan siang gratis,Positif,"[1, 3, 2]"
sekolah bocil coba makan siang gratis barusan anak curhat sekolah masuk berita diwawancarain makan gratis sekolah,Positif,"[8, 524, 48, 1, 3, 2, 1711, 7, 2961, 8, 79, 204, 6907, 1, 2, 8]"
makan siang gratis dd,Positif,"[1, 3, 2, 1326]"
kayak beliau ketawa program gembor gembor makan siang gratis,Positif,"[15, 409, 1589, 4, 1334, 1334, 1, 3, 2]"
fakta perintah fokus sejahtera rakyat program makan siang gratis humanis papua tingkat sejahtera tnipolri aman,Positif,"[446, 13, 140, 304, 12, 4, 1, 3, 2, 12480, 314, 123, 304, 9426, 320]"
makan siang gratis amerika 1946 generasi perang indonesia 2025 makan gizi gratis generasi indonesia emas,Negatif,"[1, 3, 2, 958, 4628, 89, 1088, 14, 151, 1, 5, 2, 89, 14, 240]"
menu makan siang presiden menteri salmon ikan tuna wagyu rakyat suguh serangga menu makan siang gratis dzalim banget muak kedzaliman rezim rp 1 study group,Positif,"[25, 1, 3, 32, 183, 2538, 470, 6337, 2422, 12, 6338, 1263, 25, 1, 3, 2, 2539, 20, 1284, 6339, 503, 288, 55, 4030, 3919]"
anak makan siang gratis,Netral,"[7, 1, 3, 2]"
proker maksi gratis lu distribusi makan dsb gua ajar sd gadapet tuh siang gratis desa gin butuh banding jakarta sedih banget lihat anak sd makan gizi cuman jajan masuk,Netral,"[1557, 366, 2, 331, 493, 1, 1333, 77, 73, 80, 1947, 29, 3, 2, 399, 81, 45, 103, 160, 437, 20, 33, 7, 80, 1, 5, 206, 285, 79]"
1946 makan siang gratis amerika tuju generasi perang program cari bentuk detikx,Negatif,"[4628, 1, 3, 2, 958, 56, 89, 1088, 4, 99, 224, 0]"
anies baswedan terap makan siang gratis jabat jakarta,Netral,"[136, 981, 492, 1, 3, 2, 61, 160]"
asih makan siang gratis prabowo voice,Positif,"[92, 1, 3, 2, 21, 0]"
nang sih val makan siang gratis,Netral,"[919, 10, 9380, 1, 3, 2]"
anggar makan siang gratis,Positif,"[19, 1, 3, 2]"
wujud program makan siang gratis program aneh sesuai rencana serba usaha penuh ego janji manis doi sip cekik pejabrutnya stay duduk manis baca koran nyeruput kopi,Positif,"[218, 4, 1, 3, 2, 4, 153, 129, 388, 1137, 327, 97, 1079, 67, 1034, 1538, 4759, 1539, 11498, 11499, 832, 1034, 255, 5258, 11500, 1644]"
kasih gue makan siang gratis gizi harga norma,Positif,"[17, 16, 1, 3, 2, 5, 49, 9612]"
gue bingung kelas detik aneh terjemah there is no such thing as a free lunch makan siang gratis pendek makan siang gratis spesial coba cari there is no such thing as fahami,Positif,"[16, 261, 225, 1842, 153, 9359, 1508, 619, 474, 2611, 3196, 787, 419, 915, 719, 1, 3, 2, 1199, 1, 3, 2, 3367, 48, 99, 1508, 619, 474, 2611, 3196, 787, 9360]"
makan siang gratis,Positif,"[1, 3, 2]"
asik sih kasih makan siang gratis tuh,Positif,"[1252, 10, 17, 1, 3, 2, 29]"
sate kecoa gizi kang gibran manto hemat biaya makan siang gratis,Netral,"[3134, 11662, 5, 2434, 178, 11663, 603, 57, 1, 3, 2]"
peran sinergis dokter sukses makan siang gratis,Positif,"[1187, 3907, 878, 278, 1, 3, 2]"
swasta sih makan siang gratis,Positif,"[414, 10, 1, 3, 2]"
bayar nder makan siang gratis kadang uang saku nemenin sidang,Positif,"[44, 1047, 1, 3, 2, 455, 26, 549, 5344, 3476]"
kykny tidur caci maki makan siang gratis deh,Negatif,"[10658, 313, 1419, 2738, 1, 3, 2, 114]"
mimpi makan siang gratis leclerc ferarri damn damn,Positif,"[790, 1, 3, 2, 7749, 7750, 2096, 2096]"
makan siang gizi gratis,Positif,"[1, 3, 5, 2]"
bocil kasih makan siang gratis,Positif,"[524, 17, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
anak gue kasih makan serangga sekolah rela gue mending kasih makan siang gratis kasih serangga burung kasih serangga,Positif,"[7, 16, 17, 1, 1263, 8, 677, 16, 43, 17, 1, 3, 2, 17, 1263, 9472, 17, 1263]"
menteri komdigi fokus ngawal program makan siang gratis kayak kemarin sok sok urus judol noh sorot wa iklan judol tau,Negatif,"[183, 4188, 140, 4130, 4, 1, 3, 2, 15, 120, 336, 336, 124, 983, 592, 854, 3504, 2442, 983, 51]"
lu saran lu contoh lu makan lauk belalang goreng ongseng ulat sagu menu makan siang gratis,Positif,"[331, 502, 331, 326, 331, 1, 159, 3547, 625, 9310, 1311, 4727, 25, 1, 3, 2]"
kondisi kantong jerit ya coba makan siang gratis menu makan mahal sehat murah pilih makan gizi selamat gizi nasional harigizinasional,Positif,"[439, 1140, 5307, 6, 48, 1, 3, 2, 25, 1, 280, 35, 276, 46, 1, 5, 192, 5, 217, 11222]"
daun kelor serangga menu makan siang gigi gratis sekolah burung piara ya,Positif,"[911, 896, 1263, 25, 1, 3, 2496, 2, 8, 9472, 8320, 6]"
program makan siang gratis stabil sih kayak vendor dana menu dll ya program mari lihat kembang,Positif,"[4, 1, 3, 2, 1718, 10, 15, 357, 18, 25, 154, 6, 4, 423, 33, 458]"
eh banget titip program makan siang gratis kah ayam tiren ya dunia racun,Positif,"[126, 20, 1775, 4, 1, 3, 2, 144, 150, 6588, 6, 216, 70]"
program makan siang gratis menteri umkm dana putar desa capai rp8 miliar,Positif,"[4, 1, 3, 2, 183, 710, 18, 968, 399, 532, 11528, 939]"
pok ameame belalang kupukupu siang makan gratis malam minum susu omon fufufafa,Negatif,"[8827, 8828, 3547, 8829, 3, 1, 2, 298, 479, 63, 497, 570]"
makan siang gratis zulhas 2025 butuh 420t bro ganyang 250t 50t pemda nutup,Netral,"[1, 3, 2, 2160, 151, 45, 7802, 404, 7803, 7804, 7805, 757, 1420]"
kritik perintah support dikit ya jujur gua hidup mostly daerah kota kali daerah miskintertinggal program makan siang gratis wilayah kota efektif,Negatif,"[116, 13, 4038, 531, 6, 191, 77, 135, 2427, 91, 179, 86, 91, 6347, 4, 1, 3, 2, 392, 179, 363]"
makan siang gratis kau janji wok tarik wok fair banget wok,Positif,"[1, 3, 2, 345, 67, 1180, 390, 1180, 1654, 20, 1180]"
wkwk racun makan siang gratis,Positif,"[171, 70, 1, 3, 2]"
gweh makan siang gratis,Positif,"[2856, 1, 3, 2]"
makan siang gratis gizi siswa siswi sdn 1 kecwilangan dukung program asta cita presiden republik indonesia spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro14 polisinganjuk semangatmelayani,Positif,"[1, 3, 2, 5, 36, 1219, 361, 55, 2345, 24, 4, 1758, 1225, 32, 1100, 14, 2003, 2004, 2005, 609, 2006, 2007, 2008, 2834, 3642]"
rangin makan siang gratis,Positif,"[1525, 1, 3, 2]"
makan siang gratis butuh,Netral,"[1, 3, 2, 45]"
program makan siang gratis wujud woah,Positif,"[4, 1, 3, 2, 218, 11252]"
pisang dapag makan siang gratis,Positif,"[1465, 3793, 1, 3, 2]"
rill mending urus deh tuh korupsi makan siang gratis racun 1silop kriminal pedophilia and the list goes on,Netral,"[1606, 43, 124, 114, 29, 62, 1, 3, 2, 70, 8240, 2746, 8241, 534, 212, 1568, 3419, 942]"
makan siang gratis gizi siswa siswi sdn 1 kecwilangan dukung program asta cita presiden republik indonesia spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro14,Positif,"[1, 3, 2, 5, 36, 1219, 361, 55, 2345, 24, 4, 1758, 1225, 32, 1100, 14, 2003, 2004, 2005, 609, 2006, 2007, 2008]"
mari dukung program perintah tingkat kualitas sdm program makan siang gratis,Positif,"[423, 24, 4, 13, 123, 106, 484, 4, 1, 3, 2]"
uji prabowo rakyat 1fufufafa makzul 2jokowi adil 3negara jajah oligarki 4makan siang gratis kkn 5memproses hukum koruptor keliling,Positif,"[196, 21, 12, 12851, 5492, 12852, 672, 12853, 1570, 1540, 12854, 3, 2, 1087, 12855, 396, 215, 1558]"
gue laper makan siang gratis,Netral,"[16, 1172, 1, 3, 2]"
ya makan siang gratis,Positif,"[6, 1, 3, 2]"
cari makan siang gratis,Netral,"[99, 1, 3, 2]"
nih makan siang gratis gua ke97,Netral,"[50, 1, 3, 2, 77, 7443]"
yeh fod ku aeng dibejaan mun kak dortmund umay panggih deui jeung sih ten hag mun kak mil aya sih leao moal main maneh mun kak barca keur mah teu gaji teu meunang makan siang gratis hese cai keur mandi2 acan geus cicing weh emyu pangeran mah bebas,Netral,"[12054, 12055, 302, 12056, 12057, 3714, 176, 12058, 12059, 12060, 4034, 4971, 10, 3259, 5441, 3714, 176, 12061, 3340, 10, 12062, 12063, 259, 4735, 3714, 176, 5288, 5442, 94, 2824, 72, 2824, 12064, 1, 3, 2, 12065, 12066, 5442, 12067, 12068, 4033, 12069, 2665, 3506, 12070, 94, 741]"
posted makan siang gratis gizi siswa siswi sdn 1 kecwilangan dukung program asta cita preseiden republik imdonesia spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk,Positif,"[0, 1, 3, 2, 5, 36, 1219, 361, 55, 2345, 24, 4, 1758, 1225, 5082, 1100, 5083, 2003, 2004, 2005, 609, 2006, 2007]"
anggota dpr ri lisda hendrajoni dukung program makan siang gratis gagas perintah tekan program fokus daerah kategori tinggal 3t,Positif,"[163, 239, 443, 9447, 9448, 24, 4, 1, 3, 2, 960, 13, 588, 4, 140, 91, 2045, 141, 1002]"
makan siang gratis,Positif,"[1, 3, 2]"
negara efisiensi terima pajak seret kah makan siang gratis,Positif,"[22, 759, 53, 34, 2016, 144, 1, 3, 2]"
3 orang ambil fabdig plsss gua belikan makan siang gratis,Negatif,"[107, 11, 133, 10200, 10201, 77, 1987, 1, 3, 2]"
makan siang gratis gizi siswa siswi sdn 1 kecwilangan dukung program asta cita preseiden republik imdonesia spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro14 polisinganjuk,Positif,"[1, 3, 2, 5, 36, 1219, 361, 55, 2345, 24, 4, 1758, 1225, 5082, 1100, 5083, 2003, 2004, 2005, 609, 2006, 2007, 2008, 2834]"
makan siang gratis gizi siswa siswi sdn 1 kecwilangan dukung program asta cita preseiden republik imdonesia spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro14 polisinganjuk,Positif,"[1, 3, 2, 5, 36, 1219, 361, 55, 2345, 24, 4, 1758, 1225, 5082, 1100, 5083, 2003, 2004, 2005, 609, 2006, 2007, 2008, 2834]"
agenda makan siang gratis 5 negara,Positif,"[2704, 1, 3, 2, 165, 22]"
mimpi didit buzzer 02 ngeritwit postingan pro makan siang gratis,Positif,"[790, 0, 195, 185, 0, 1588, 246, 1, 3, 2]"
gengsi sih pakai jersey kau lihat banget kau orang ken ramein bilah murah tau nahu konsep beli merch orisinal edukasi jalan kelas 6th pakai jersey klub kau,Positif,"[714, 10, 28, 2424, 345, 33, 20, 345, 11, 339, 11388, 11389, 276, 51, 11390, 434, 96, 11391, 11392, 1176, 40, 225, 11393, 28, 2424, 2855, 345]"
cewe2 neng banget posting transfer cowok pakai caption terima kasih ayang uang jajan ya cicil beli harga lo makan siang gratis,Positif,"[8677, 498, 20, 1492, 2740, 2102, 28, 2668, 53, 17, 8678, 26, 285, 6, 3221, 96, 49, 117, 1, 3, 2]"
makan siang gratis wowok kkn undip,Positif,"[1, 3, 2, 2527, 1087, 4901]"
hina makan siang gratis,Netral,"[472, 1, 3, 2]"
zink buzzer lu zokodok amplop 46uan makan siang gratis 1 2 3,Positif,"[0, 195, 331, 0, 9647, 0, 1, 3, 2, 55, 84, 107]"
makan siang gizi gratis,Positif,"[1, 3, 5, 2]"
oke sih sbnrnya gantung jurus enak makan siang gratis,Positif,"[219, 10, 2619, 863, 4236, 31, 1, 3, 2]"
makan siang kulit gratis libur ya fokus on point 2egin4cantik 2x45win jokowiaguanmafiatanah persebayaday nagahitam scatterhitam bpk maju baca lengkap,Positif,"[1, 3, 5389, 2, 1044, 6, 140, 942, 964, 13163, 13164, 13165, 13166, 13167, 13168, 1294, 297, 255, 380]"
makan siang gratis,Positif,"[1, 3, 2]"
dibilangin 2026 bubar januari apbn empot2an makan siang gratis,Positif,"[3525, 954, 622, 674, 121, 4580, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
makan siang gratis batal tinggal tidur kwkwkwwk,Netral,"[1, 3, 2, 355, 141, 313, 5507]"
asih makan siang gratis,Positif,"[92, 1, 3, 2]"
kes polri n tni benteng pik 2 makan siang gratis n hibah korporat timbal hibah hukum besi dunia bisnis,Positif,"[1022, 811, 513, 464, 12461, 3695, 84, 1, 3, 2, 513, 2120, 3068, 1611, 2120, 396, 4733, 216, 605]"
makan siang gratis libur unicintabakwan124,Positif,"[1, 3, 2, 1044, 7445]"
cari makan siang gratis,Netral,"[99, 1, 3, 2]"
asumsi masak siang menu kuah2 kecut magrib menu kering ya aman,Negatif,"[2957, 207, 3, 25, 0, 10061, 0, 25, 3254, 6, 320]"
arti produk beli herbal tumbuh temu bagus maksud spesifik vaksin bisnis lumayan cuan who sedia fasilitas gratis pikir makan siang gratis,Positif,"[2320, 734, 96, 13040, 254, 678, 82, 454, 3620, 2087, 605, 429, 1446, 1598, 197, 354, 2, 68, 1, 3, 2]"
bocil makan siang gratis wkwkwkw sekolah,Positif,"[524, 1, 3, 2, 1105, 8]"
cc mohon tolong min pas makan siang gratis ketiban plafon sekolah,Positif,"[1503, 733, 245, 642, 83, 1, 3, 2, 6391, 6392, 8]"
besok improve pakai menu makan siang gratis ayam cuil,Positif,"[450, 7696, 28, 25, 1, 3, 2, 150, 0]"
ih ambil makan siang gratis loh,Netral,"[1126, 133, 1, 3, 2, 230]"
program makan siang gratis tau terimakasih komplain gaenak dll alih daerah papua,Netral,"[4, 1, 3, 2, 51, 553, 478, 669, 154, 128, 91, 314]"
gabole komplain abang syukur anak artis kayak makan nasi kotak istri artis kayak makan siang sekolah minum minum jelly ikhlas terima syukur kasih makan gratis abang bilang buzzer,Positif,"[10703, 478, 172, 59, 7, 184, 15, 1, 30, 143, 827, 184, 15, 1, 3, 8, 479, 479, 1372, 1030, 53, 59, 17, 1, 2, 172, 42, 195]"
konyol salah kelola fatal contoh asli makan siang gratis siswa bagus ya imbang reformasi didik kayak china as,Netral,"[1122, 54, 157, 2328, 326, 606, 1, 3, 2, 36, 82, 6, 528, 3673, 38, 15, 119, 787]"
makan siang promo shopee tokopedia blibli kode voucher lazada 2525 sale mega guncang 2525 diskon promo mumpung belanja gratis flash sale cashback racun shopee festival gaji happy hour,Positif,"[1, 3, 2365, 2188, 12280, 12281, 2873, 1232, 12282, 5467, 3257, 3243, 5352, 5467, 1720, 2365, 1690, 753, 2, 4322, 3257, 12283, 70, 2188, 2477, 72, 1060, 12284]"
program makan siang gratis 9 kerjasama disupply hans khichen,Positif,"[4, 1, 3, 2, 541, 1950, 0, 6090, 0]"
ya gara gara perintah asih bom nuklir anggar bentuk makan siang gratis ptnbh suruh cari duit suruh bikin endowment fund negara universityindustry link,Negatif,"[6, 482, 482, 13, 92, 722, 3083, 19, 224, 1, 3, 2, 6387, 65, 99, 37, 65, 23, 6388, 6389, 22, 6390, 1509]"
solusi makan siang gratis tugas perintah cipta kondisi kondusif rakyat cari uang,Netral,"[167, 1, 3, 2, 599, 13, 384, 439, 0, 12, 99, 26]"
kurus police tungguin program makan siang gratis,Netral,"[2781, 8661, 8662, 4, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
05 kerja bagibagi susu makan siang gratis,Positif,"[4004, 39, 830, 63, 1, 3, 2]"
makan siang gratis,Positif,"[1, 3, 2]"
fufufafa kasih makan siang gratis biar pea,Positif,"[570, 17, 1, 3, 2, 41, 665]"
makan siang gratis,Positif,"[1, 3, 2]"
sdm jepang hebat ya sistem negara jabat sono kompeten bijak malu etika moral makan siang gratis dongo,Positif,"[484, 268, 436, 6, 281, 22, 61, 1340, 1751, 137, 251, 4910, 2473, 1, 3, 2, 943]"
tekpang vendor makan siang gratis,Positif,"[4755, 357, 1, 3, 2]"
100 anies bikin taman 100 pragib bikin siswa smadan wajib isi data funfact makan siang gratis,Positif,"[408, 136, 23, 9886, 408, 1168, 23, 36, 0, 475, 127, 508, 0, 1, 3, 2]"
program prabowo makan siang gratis,Positif,"[4, 21, 1, 3, 2]"
butuh cari 100t program makan gratis murid hasil jual laut bu sri wislah siswa racun dll murah makan siang gratis bekel bikin emaknya siswa,Positif,"[45, 99, 11242, 4, 1, 2, 186, 60, 315, 312, 579, 1133, 11243, 36, 70, 154, 276, 1, 3, 2, 712, 23, 1290, 36]"
ah 6a mah bjirrrr seru hu kerjaanya upacara ajar makan siang gratis ros pulang,Positif,"[509, 0, 94, 5650, 560, 1977, 0, 0, 73, 1, 3, 2, 11281, 287]"
oc klean makan siang gratis gez,Positif,"[0, 10980, 1, 3, 2, 0]"
muncul orang pelosok makan sehinggal makan siang gratis bawa rumah,Positif,"[398, 11, 585, 1, 0, 1, 3, 2, 130, 76]"
indonesia emas 2045 budget makan siang gratis mending renov sekolah layak tahi,Positif,"[14, 240, 687, 170, 1, 3, 2, 43, 2928, 8, 88, 378]"
boroboro gemuk tri fasilitas makan siang gratis butuh dana,Netral,"[4555, 1089, 465, 354, 1, 3, 2, 45, 18]"
terima kasih kasih makan siang gratis gizi,Positif,"[53, 17, 17, 1, 3, 2, 5]"
sulit paham moga makan siang gratis,Positif,"[422, 241, 148, 1, 3, 2]"
makan siang gratis darimana jumat,Positif,"[1, 3, 2, 681, 203]"
wakil presiden gibran rakabuming raka tinjau langsung laksana program makan siang gratis mbak smk smk 2 ki hajar dewantoro komplek sekolah tangerang banten jumat,Positif,"[386, 32, 178, 1182, 1761, 638, 110, 109, 4, 1, 3, 2, 9, 862, 862, 84, 1188, 2521, 12951, 12952, 8, 2209, 1924, 203]"
makan siang gratis,Positif,"[1, 3, 2]"
