tweet,tweet_cleaning,tweet_casefolding,normalisasi,label,tokenize,stopword removal,steming_data
Terima kasih bapak <username> telah mengendalikan banjir dengan baik sehingga Jakarta saat ini tidak ada lagi yang tidak banjir.. Semua sudah merata.. ?????? <hashtag>,Terima kasih bapak username telah mengendalikan banjir dengan baik sehingga Jakarta saat ini tidak ada lagi yang tidak banjir Semua sudah merata hashtag,terima kasih username kendali banjir jakarta banjir rata hashtag,terima kasih username kendali banjir jakarta banjir rata hashtag,1,"['terima', 'kasih', 'username', 'kendali', 'banjir', 'jakarta', 'banjir', 'rata', 'hashtag']","['terima', 'kasih', 'username', 'kendali', 'banjir', 'jakarta', 'banjir', 'hashtag']",terima kasih username kendali banjir jakarta banjir hashtag
<username> <username> <username> <username> pemerintah memang pintar pintar berkilah pintar alesan pntar bohong pintar alibi dll,username username username username pemerintah memang pintar pintar berkilah pintar alesan pntar bohong pintar alibi dll,username username username username perintah pintar pintar kilah pintar alesan pntar bohong pintar alibi dll,username username username username perintah pintar pintar kilah pintar alesan pntar bohong pintar alibi dll,1,"['username', 'username', 'username', 'username', 'perintah', 'pintar', 'pintar', 'kilah', 'pintar', 'alesan', 'pntar', 'bohong', 'pintar', 'alibi', 'dll']","['username', 'username', 'username', 'username', 'perintah', 'pintar', 'pintar', 'kilah', 'pintar', 'alesan', 'pntar', 'bohong', 'pintar', 'alibi', 'dll']",username username username username perintah pintar pintar kilah pintar alesan pntar bohong pintar alibi dll
Satu kata unt indonesia MEMBANGGAKAN . Level demokrasi sdh tinggi yang <hashtag> mhn mf anda akan tertinggal ke dpn negara ini akan maju dn disegani .,Satu kata unt indonesia MEMBANGGAKAN Level demokrasi sdh tinggi yang hashtag mhn mf anda akan tertinggal ke dpn negara ini akan maju dn disegani,unt indonesia bangga level demokrasi sdh hashtag mhn mf tinggal dpn negara maju dn segani,unt indonesia bangga level demokrasi sudah hashtag mhn maaf tinggal depan negara maju dan segani,1,"['unt', 'indonesia', 'bangga', 'level', 'demokrasi', 'sudah', 'hashtag', 'mhn', 'maaf', 'tinggal', 'depan', 'negara', 'maju', 'dan', 'segani']","['unt', 'indonesia', 'bangga', 'level', 'demokrasi', 'hashtag', 'mhn', 'maaf', 'tinggal', 'negara', 'maju', 'segani']",unt indonesia bangga level demokrasi hashtag mhn maaf tinggal negara maju segani
<username> Yang mulia <username> notice tidak yaa . Wkwk,username Yang mulia username notice tidak yaa Wkwk,username mulia username notice yaa wkwk,username mulia username notice ya wkwk,1,"['username', 'mulia', 'username', 'notice', 'ya', 'wkwk']","['username', 'mulia', 'username', 'notice', 'ya', 'wkwk']",username mulia username notice ya wkwk
"Selamat untuk pak <username> yg sdh melewati rekor banjir dibulan Januari sebanyak tiga kali dgn membuat banjir dibulan Februari sdh sebanyak empat kali. Pertahankan dibulan depan pak kalo bisa sih melewati juga. Doa gubernur Soleh memang hebat, salut saya.Wajah dengan air mata bahagia <hashtag>",Selamat untuk pak username yg sdh melewati rekor banjir dibulan Januari sebanyak tiga kali dgn membuat banjir dibulan Februari sdh sebanyak empat kali Pertahankan dibulan depan pak kalo bisa sih melewati juga Doa gubernur Soleh memang hebat salut sayaWajah dengan air mata bahagia hashtag,selamat username yg sdh lewat rekor banjir bulan januari kali dgn banjir bulan februari sdh kali tahan bulan kalo sih lewat doa gubernur soleh hebat salut sayawajah air mata bahagia hashtag,selamat username yang sudah lewat rekor banjir bulan januari kali dengan banjir bulan februari sudah kali tahan bulan kalau sih lewat doa gubernur soleh hebat salut sayawajah air mata bahagia hashtag,1,"['selamat', 'username', 'yang', 'sudah', 'lewat', 'rekor', 'banjir', 'bulan', 'januari', 'kali', 'dengan', 'banjir', 'bulan', 'februari', 'sudah', 'kali', 'tahan', 'bulan', 'kalau', 'sih', 'lewat', 'doa', 'gubernur', 'soleh', 'hebat', 'salut', 'sayawajah', 'air', 'mata', 'bahagia', 'hashtag']","['selamat', 'username', 'rekor', 'banjir', 'januari', 'kali', 'banjir', 'februari', 'kali', 'tahan', 'sih', 'doa', 'gubernur', 'soleh', 'hebat', 'salut', 'sayawajah', 'air', 'mata', 'bahagia', 'hashtag']",selamat username rekor banjir januari kali banjir februari kali tahan sih doa gubernur soleh hebat salut sayawajah air mata bahagia hashtag
Yang dicari polisi dikloset pasti otaknya . <hashtag>,Yang dicari polisi dikloset pasti otaknya hashtag,cari polisi kloset otak hashtag,cari polisi kloset otak hashtag,1,"['cari', 'polisi', 'kloset', 'otak', 'hashtag']","['cari', 'polisi', 'kloset', 'otak', 'hashtag']",cari polisi kloset otak hashtag
tidak salah sih menyuarakan pilihan politik nya . Tapi harus siap juga akan konsekuensi nya . jangan cm berani ucap tapi lalu koreksi seolah2 netizen bodoh .,tidak salah sih menyuarakan pilihan politik nya Tapi harus siap juga akan konsekuensi nya jangan cm berani ucap tapi lalu koreksi seolah2 netizen bodoh,salah sih suara pilih politik nya konsekuensi nya cm berani koreksi seolah2 netizen bodoh,salah sih suara pilih politik ya konsekuensi ya cuma berani koreksi seolah2 netizen bodoh,1,"['salah', 'sih', 'suara', 'pilih', 'politik', 'ya', 'konsekuensi', 'ya', 'cuma', 'berani', 'koreksi', 'seolah2', 'netizen', 'bodoh']","['salah', 'sih', 'suara', 'pilih', 'politik', 'ya', 'konsekuensi', 'ya', 'berani', 'koreksi', 'seolah2', 'netizen', 'bodoh']",salah sih suara pilih politik ya konsekuensi ya berani koreksi seolah2 netizen bodoh
akhirnya terungkap ya mas fatah jangan nangis anak laki harus berkuasa wkwk <hashtag>,akhirnya terungkap ya mas fatah jangan nangis anak laki harus berkuasa wkwk hashtag,ungkap ya mas fatah nang anak laki kuasa wkwk hashtag,ungkap ya mas fatah nang anak laki kuasa wkwk hashtag,1,"['ungkap', 'ya', 'mas', 'fatah', 'nang', 'anak', 'laki', 'kuasa', 'wkwk', 'hashtag']","['ya', 'mas', 'fatah', 'nang', 'anak', 'laki', 'kuasa', 'wkwk', 'hashtag']",ya mas fatah nang anak laki kuasa wkwk hashtag
Istana Presiden Kebanjiran Luar biasaaaa.. Janji kampanye <username> sudah terealisasi. Sediakan kolam untuk warga Jakarta.! <hashtag>,Istana Presiden Kebanjiran Luar biasaaaa Janji kampanye username sudah terealisasi Sediakan kolam untuk warga Jakarta hashtag,istana presiden banjir biasaaaa janji kampanye username realisasi sedia kolam warga jakarta hashtag,istana presiden banjir biasa janji kampanye username realisasi sedia kolam warga jakarta hashtag,1,"['istana', 'presiden', 'banjir', 'biasa', 'janji', 'kampanye', 'username', 'realisasi', 'sedia', 'kolam', 'warga', 'jakarta', 'hashtag']","['istana', 'presiden', 'banjir', 'janji', 'kampanye', 'username', 'realisasi', 'sedia', 'kolam', 'warga', 'jakarta', 'hashtag']",istana presiden banjir janji kampanye username realisasi sedia kolam warga jakarta hashtag
Film Keluarga Cendana ini ternyata bercerita tentang keluarga kaya yang jatuh miskin . Baru tahu ..,Film Keluarga Cendana ini ternyata bercerita tentang keluarga kaya yang jatuh miskin Baru tahu,film keluarga cendana cerita keluarga kaya jatuh miskin,film keluarga cendana cerita keluarga kayak jatuh miskin,1,"['film', 'keluarga', 'cendana', 'cerita', 'keluarga', 'kayak', 'jatuh', 'miskin']","['film', 'keluarga', 'cendana', 'cerita', 'keluarga', 'kayak', 'jatuh', 'miskin']",film keluarga cendana cerita keluarga kayak jatuh miskin
Ini Indonesia tercinta ku .... Kalau khilafah dan kadrun monggo buat negara sendiri sana ... Berjasa engga buat negara ngerecokin iya .. kadal!!! <hashtag> <hashtag>,Ini Indonesia tercinta ku Kalau khilafah dan kadrun monggo buat negara sendiri sana Berjasa engga buat negara ngerecokin iya kadal hashtag hashtag,indonesia cinta ku khilafah kadrun monggo negara jasa engga negara ngerecokin iya kadal hashtag hashtag,indonesia cinta ku khilafah kadrun monggo negara jasa tidak negara ngerecokin iya kadal hashtag hashtag,1,"['indonesia', 'cinta', 'ku', 'khilafah', 'kadrun', 'monggo', 'negara', 'jasa', 'tidak', 'negara', 'ngerecokin', 'iya', 'kadal', 'hashtag', 'hashtag']","['indonesia', 'cinta', 'ku', 'khilafah', 'kadrun', 'monggo', 'negara', 'jasa', 'negara', 'ngerecokin', 'iya', 'kadal', 'hashtag', 'hashtag']",indonesia cinta ku khilafah kadrun monggo negara jasa negara ngerecokin iya kadal hashtag hashtag
<hashtag> baru tahu aslinya dia lupa pemerintah sudah mensuport untuk kemudahan bisnisnya tapi omong kosong menunjukan kwalitas dr owner BL .,hashtag baru tahu aslinya dia lupa pemerintah sudah mensuport untuk kemudahan bisnisnya tapi omong kosong menunjukan kwalitas dr owner BL,hashtag asli lupa perintah mensuport mudah bisnis omong kosong tunjuk kwalitas dr owner bl,hashtag asli lupa perintah mensuport mudah bisnis omong kosong tunjuk kwalitas dari owner bl,1,"['hashtag', 'asli', 'lupa', 'perintah', 'mensuport', 'mudah', 'bisnis', 'omong', 'kosong', 'tunjuk', 'kwalitas', 'dari', 'owner', 'bl']","['hashtag', 'asli', 'lupa', 'perintah', 'mensuport', 'mudah', 'bisnis', 'omong', 'kosong', 'kwalitas', 'owner', 'bl']",hashtag asli lupa perintah mensuport mudah bisnis omong kosong kwalitas owner bl
mimpin sholat ngak bisaa . Lahhh mw pimpin negara situ shat bapak ? ? <hashtag>,mimpin sholat ngak bisaa Lahhh mw pimpin negara situ shat bapak hashtag,mimpin sholat ngak bisaa lahhh mw pimpin negara situ shat hashtag,mimpin sholat tidak bisa lah mau pimpin negara situ sehat hashtag,1,"['mimpin', 'sholat', 'tidak', 'bisa', 'lah', 'mau', 'pimpin', 'negara', 'situ', 'sehat', 'hashtag']","['mimpin', 'sholat', 'pimpin', 'negara', 'situ', 'sehat', 'hashtag']",mimpin sholat pimpin negara situ sehat hashtag
ALHAMDULILLAH ... ibukota JAKARTA akhirnya punya prestasi mendunia ! <hashtag>,ALHAMDULILLAH ibukota JAKARTA akhirnya punya prestasi mendunia hashtag,alhamdulillah ibukota jakarta prestasi dunia hashtag,alhamdulillah ibukota jakarta prestasi dunia hashtag,1,"['alhamdulillah', 'ibukota', 'jakarta', 'prestasi', 'dunia', 'hashtag']","['alhamdulillah', 'ibukota', 'jakarta', 'prestasi', 'dunia', 'hashtag']",alhamdulillah ibukota jakarta prestasi dunia hashtag
Wht anda bilang cukup 3 tahun membangun perekonomian . Ngibul ih <hashtag>,Wht anda bilang cukup 3 tahun membangun perekonomian Ngibul ih hashtag,wht bilang 3 bangun ekonomi ngibul ih hashtag,wht bilang 3 bangun ekonomi ngibul ih hashtag,1,"['wht', 'bilang', '3', 'bangun', 'ekonomi', 'ngibul', 'ih', 'hashtag']","['wht', 'bilang', '3', 'bangun', 'ekonomi', 'ngibul', 'ih', 'hashtag']",wht bilang 3 bangun ekonomi ngibul ih hashtag
kalau merasa hukum tidak berat sebelah tangkap orang yang bilang ABB bebas pengecut,kalau merasa hukum tidak berat sebelah tangkap orang yang bilang ABB bebas pengecut,hukum berat belah tangkap orang bilang abb bebas kecut,hukum berat belah tangkap orang bilang abb bebas kecut,1,"['hukum', 'berat', 'belah', 'tangkap', 'orang', 'bilang', 'abb', 'bebas', 'kecut']","['hukum', 'berat', 'belah', 'tangkap', 'orang', 'bilang', 'abb', 'bebas', 'kecut']",hukum berat belah tangkap orang bilang abb bebas kecut
<username> DITANGAN ANIES TANAH ABANG KEMBALI SEPERTI DULU LAGI . SEMAKIN SEMRAWUT SEMAKIN BANYAK uang MENGALIR PAHAM KHAN KENAPA HAJI LULUNG PRO ANIES,username DITANGAN ANIES TANAH ABANG KEMBALI SEPERTI DULU LAGI SEMAKIN SEMRAWUT SEMAKIN BANYAK uang MENGALIR PAHAM KHAN KENAPA HAJI LULUNG PRO ANIES,username tang anies tanah abang semrawut uang alir paham khan haji lulung pro anies,username tang anies tanah abang semrawut uang alir paham kan haji lulung pro anies,1,"['username', 'tang', 'anies', 'tanah', 'abang', 'semrawut', 'uang', 'alir', 'paham', 'kan', 'haji', 'lulung', 'pro', 'anies']","['username', 'tang', 'anies', 'tanah', 'abang', 'semrawut', 'uang', 'alir', 'paham', 'haji', 'lulung', 'pro', 'anies']",username tang anies tanah abang semrawut uang alir paham haji lulung pro anies
Jakarta Lumpuh ! Selamat Tahun Baru & Selamat Datang Banjir Apakah ini Doa dari para Wahabi terkabul. ??? <hashtag>,Jakarta Lumpuh Selamat Tahun Baru Selamat Datang Banjir Apakah ini Doa dari para Wahabi terkabul hashtag,jakarta lumpuh selamat selamat banjir doa wahabi kabul hashtag,jakarta lumpuh selamat selamat banjir doa wahabi kabul hashtag,1,"['jakarta', 'lumpuh', 'selamat', 'selamat', 'banjir', 'doa', 'wahabi', 'kabul', 'hashtag']","['jakarta', 'lumpuh', 'selamat', 'selamat', 'banjir', 'doa', 'wahabi', 'kabul', 'hashtag']",jakarta lumpuh selamat selamat banjir doa wahabi kabul hashtag
Baru tahu kerjaan DPR gerebek PSK Selamat anda mendapat gelar DPR rasa Satpol PP <hashtag>,Baru tahu kerjaan DPR gerebek PSK Selamat anda mendapat gelar DPR rasa Satpol PP hashtag,kerja dpr gerebek psk selamat gelar dpr satpol pp hashtag,kerja dpr gerebek psk selamat gelar dpr satpol pp hashtag,1,"['kerja', 'dpr', 'gerebek', 'psk', 'selamat', 'gelar', 'dpr', 'satpol', 'pp', 'hashtag']","['kerja', 'dpr', 'gerebek', 'psk', 'selamat', 'gelar', 'dpr', 'satpol', 'pp', 'hashtag']",kerja dpr gerebek psk selamat gelar dpr satpol pp hashtag
<username> please jangan ada yang banding2in hasil badminton sama sepakbola kita jangan ... tidak level hahaha,username please jangan ada yang banding2in hasil badminton sama sepakbola kita jangan tidak level hahaha,username please banding2in hasil badminton sepakbola level hahaha,username please banding2in hasil badminton sepakbola level hahaha,1,"['username', 'please', 'banding2in', 'hasil', 'badminton', 'sepakbola', 'level', 'hahaha']","['username', 'please', 'banding2in', 'hasil', 'badminton', 'sepakbola', 'level', 'hahaha']",username please banding2in hasil badminton sepakbola level hahaha
Luar biasa ini lah <hashtag> 2020.. Warga jekardah khusus yang Pe'a pasti Heppi krn kecimplung berkah terus.. <hashtag> <hashtag> <hashtag> <hashtag> <hashtag>,Luar biasa ini lah hashtag 2020 Warga jekardah khusus yang Pea pasti Heppi krn kecimplung berkah terus hashtag hashtag hashtag hashtag hashtag,hashtag 2020 warga jekardah khusus pea heppi krn kecimplung berkah hashtag hashtag hashtag hashtag hashtag,hashtag 2020 warga jekardah khusus pea heppi karena kecimplung berkah hashtag hashtag hashtag hashtag hashtag,1,"['hashtag', '2020', 'warga', 'jekardah', 'khusus', 'pea', 'heppi', 'karena', 'kecimplung', 'berkah', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag']","['hashtag', '2020', 'warga', 'jekardah', 'khusus', 'pea', 'heppi', 'kecimplung', 'berkah', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag']",hashtag 2020 warga jekardah khusus pea heppi kecimplung berkah hashtag hashtag hashtag hashtag hashtag
Apakah dengan mendukung mati matian salah satu pascol presiden akan berdampak ke kehidupan anda secara siknifikan? BACOT!!!,Apakah dengan mendukung mati matian salah satu pascol presiden akan berdampak ke kehidupan anda secara siknifikan BACOT,dukung mati mati salah pascol presiden dampak hidup siknifikan bacot,dukung mati mati salah pascol presiden dampak hidup siknifikan bacot,1,"['dukung', 'mati', 'mati', 'salah', 'pascol', 'presiden', 'dampak', 'hidup', 'siknifikan', 'bacot']","['dukung', 'mati', 'mati', 'salah', 'pascol', 'presiden', 'dampak', 'hidup', 'siknifikan', 'bacot']",dukung mati mati salah pascol presiden dampak hidup siknifikan bacot
Pemimpinya katanya hasil itjima ulama tapi si fadli hina Ulama . Yang di hina fadli adalah Ulama Besar yaitu Mbah Moen buat Niken no sanse . Wajib di Tenggelamkan .,Pemimpinya katanya hasil itjima ulama tapi si fadli hina Ulama Yang di hina fadli adalah Ulama Besar yaitu Mbah Moen buat Niken no sanse Wajib di Tenggelamkan,mimpi hasil itjima ulama si fadli hina ulama hina fadli ulama mbah moen niken no sanse wajib tenggelam,mimpi hasil itjima ulama sih fadli hina ulama hina fadli ulama mbah moen niken no sanse wajib tenggelam,1,"['mimpi', 'hasil', 'itjima', 'ulama', 'sih', 'fadli', 'hina', 'ulama', 'hina', 'fadli', 'ulama', 'mbah', 'moen', 'niken', 'no', 'sanse', 'wajib', 'tenggelam']","['mimpi', 'hasil', 'itjima', 'ulama', 'sih', 'fadli', 'hina', 'ulama', 'hina', 'fadli', 'ulama', 'mbah', 'moen', 'niken', 'no', 'sanse', 'wajib', 'tenggelam']",mimpi hasil itjima ulama sih fadli hina ulama hina fadli ulama mbah moen niken no sanse wajib tenggelam
Mungkin ini salah satu program kerja bapak Anies untuk memeratakan kesejahteraan warga DKI . <hashtag>,Mungkin ini salah satu program kerja bapak Anies untuk memeratakan kesejahteraan warga DKI hashtag,salah program kerja anies perata sejahtera warga dki hashtag,salah program kerja anies perata sejahtera warga dki hashtag,1,"['salah', 'program', 'kerja', 'anies', 'perata', 'sejahtera', 'warga', 'dki', 'hashtag']","['salah', 'program', 'kerja', 'anies', 'perata', 'sejahtera', 'warga', 'dki', 'hashtag']",salah program kerja anies perata sejahtera warga dki hashtag
Ingat ye kawan2 <hashtag> Ganti Presiden Jokowi itu Maha Benar dia tidak pernah salah harus dipuja puja kalau perlu disembah .,Ingat ye kawan2 hashtag Ganti Presiden Jokowi itu Maha Benar dia tidak pernah salah harus dipuja puja kalau perlu disembah,ye kawan2 hashtag ganti presiden jokowi maha salah puja puja sembah,ye kawan2 hashtag ganti presiden jokowi maha salah puja puja sembah,1,"['ye', 'kawan2', 'hashtag', 'ganti', 'presiden', 'jokowi', 'maha', 'salah', 'puja', 'puja', 'sembah']","['ye', 'kawan2', 'hashtag', 'ganti', 'presiden', 'jokowi', 'maha', 'salah', 'puja', 'puja', 'sembah']",ye kawan2 hashtag ganti presiden jokowi maha salah puja puja sembah
kamaren mngatakan antek aseng skarang malah heppy2 sama orang asing plinpan bgt sihh ommm g malu apa dgn perkataan sendiri ....,kamaren mngatakan antek aseng skarang malah heppy2 sama orang asing plinpan bgt sihh ommm g malu apa dgn perkataan sendiri,kamaren mngatakan antek aseng skarang heppy2 orang asing plinpan bgt sihh ommm g malu dgn kata,kamaren mngatakan antek aseng sekarang heppy2 orang asing plinpan banget sih ommm tidak malu dengan kata,1,"['kamaren', 'mngatakan', 'antek', 'aseng', 'sekarang', 'heppy2', 'orang', 'asing', 'plinpan', 'banget', 'sih', 'ommm', 'tidak', 'malu', 'dengan', 'kata']","['kamaren', 'mngatakan', 'antek', 'aseng', 'heppy2', 'orang', 'asing', 'plinpan', 'banget', 'sih', 'ommm', 'malu']",kamaren mngatakan antek aseng heppy2 orang asing plinpan banget sih ommm malu
Kalian katakan Ahok tidak pantas disebut pemimpin krn bicaranya yang kasar tapi ada orang yang juga bicarany kasar kalian ktkn pemimpin umat,Kalian katakan Ahok tidak pantas disebut pemimpin krn bicaranya yang kasar tapi ada orang yang juga bicarany kasar kalian ktkn pemimpin umat,ahok pimpin krn bicara kasar orang bicarany kasar ktkn pimpin umat,ahok pimpin karena bicara kasar orang bicarany kasar ktkn pimpin umat,1,"['ahok', 'pimpin', 'karena', 'bicara', 'kasar', 'orang', 'bicarany', 'kasar', 'ktkn', 'pimpin', 'umat']","['ahok', 'pimpin', 'bicara', 'kasar', 'orang', 'bicarany', 'kasar', 'ktkn', 'pimpin', 'umat']",ahok pimpin bicara kasar orang bicarany kasar ktkn pimpin umat
Masril Piliang me-Retweet Jurnalis tb tapi otak dia di sol sepatu <hashtag>,Masril Piliang meRetweet Jurnalis tb tapi otak dia di sol sepatu hashtag,masril piliang meretweet jurnalis tb otak sol sepatu hashtag,masril piliang meretweet jurnalis tb otak sol sepatu hashtag,1,"['masril', 'piliang', 'meretweet', 'jurnalis', 'tb', 'otak', 'sol', 'sepatu', 'hashtag']","['masril', 'piliang', 'meretweet', 'jurnalis', 'tb', 'otak', 'sol', 'sepatu', 'hashtag']",masril piliang meretweet jurnalis tb otak sol sepatu hashtag
Kita Dukung ! <hashtag>,Kita Dukung hashtag,dukung hashtag,dukung hashtag,1,"['dukung', 'hashtag']","['dukung', 'hashtag']",dukung hashtag
