steming_data,Sentiment
asisten sty nutup2in isu makan siang gratis akwokwowk bego asli dunia alih isu orang tolol kagak baca berita kaget lihat 1,Negatif
bodo mending dana makan siang gratis lapang kerja,Positif
menu makan siang gratis,Positif
sdm2 rendah katai makan siang gratis eh ajg orang tuh untung contoh bawa drumah coba syukur manusia tuntut bae kerja lo,Positif
ooo kelian pilih program makan siang gratis otak kelian kayak tahi,Negatif
sman 10 bdg makan siang gratis pls fomo banget,Positif
bayang katai kayak butuh makan siang gizi gratis tetangga belah,Negatif
apasih umur gua kayak sepele mending sender makan harap makan siang gratis kecuali butuh primer sekunder penuh butuh tersier,Negatif
makan siang gratis jelek ya kayak kocak modal jelek kayak nangung ya kayak modal jelek doang laku,Negatif
wkwkwwkw konten makan siang gratis anak banget sumpah,Positif
indonesia bansos 500 t makan siang gratis gaji pegawai 300 t defisit apbn 2024 500 t hapus bansos indonesia ngutang,Netral
nama program makan siang gratis wajar sih ubah makan gizi gratis model kayak gizi cuk,Positif
sumpa program makan siang gratis mas katain makan makan gizi kontol perintah asih makan gratis program mulia anjing mas neng sih,Netral
berita issue negara pergi hukum ringan koruptor makan siang gratis pagar laut ya kirakira salam subuh,Positif
ide makan siang gratis kampanye sesal,Positif
budget dialihin program makan siang gratis,Positif
inisial wowok kasih makan siang gratis,Positif
makan siang gratis cium,Positif
deh orang indonesia mending mantau makan siang gratis kawal pagar 30km stop urus negara kagak demen yaudah sih kagak ngaruh negara bagus perintah,Negatif
nasib siswa adu lengkuas daging makan siang gratis surat baca lengkap,Positif
susah 58 rakyat indonesia pilih kenyang makan siang gratis didik cerdas bangsa,Netral
kapai kasih gaji guru layak mending bayar dc bnsr kawal makan siang gratis,Positif
gilir tawarin internet gratis pilih makan siang gratis hahahhaha,Positif
willie pas kasih makan siang gratis,Positif
makan siang gratis lom,Positif
isengiseng murid makan siang gratis sekolah nyeletuk gratis anggar uang kas makan marahin dagu gue jele,Positif
woi prabowo mutual gua makan siang gratis,Netral
ya allah ya lulus 2023 makan siang gratis kayak makan layak,Positif
tni hadir dukung makan siang gratis papua,Positif
program makan bergzji gratis program tidur siang habis makan tidur indonesia emas,Positif
bijak perintah miss asih makan siang gratis bijak orang tua murid asih makan anak,Negatif
makan siang gratis,Positif
bikin sekolah garuda makan siang gratis,Positif
asih makan siang gratis guru nasib orang haji orang tinggal samping rumah orang haji makan seharihari sulit pungkas teman,Positif
bongkar pagar laut bilang sulit timbul biaya biaya oranguntuk makan siang gratis biaya,Negatif
makan siang gratis,Positif
uang jajan ekonomi sulit instead of bikin program makan siang gratis matang turunin harga sembako luas lapang kerja sejahtera makan enak,Positif
noh 10rb gin anjir sih warteg pinggir jalan habis pikir sa sekolah asih makan siang gratis porsi kayaau asih makan napi,Positif
gin akibat kasih didik gratis pilih makan siang gratis,Positif
ingfokan biar gue makan siang gratis,Positif
dana zakat infrastruktur program makan siang gratis mending bantu kayak gin,Positif
indonesia be like tiada makan siang gratis wak,Positif
ide makan siang gratis nih gendut,Netral
entar rakyat makan siang gratis brkualitas,Positif
